2026-01-18 21:07:54,036 | INFO | livekit.agents | starting worker
2026-01-18 21:07:54,039 | INFO | livekit.agents | HTTP server listening on :8081
2026-01-18 21:07:54,041 | INFO | livekit.agents | initializing job runner
2026-01-18 21:07:54,042 | INFO | livekit.agents | initializing job runner
2026-01-18 21:07:54,042 | INFO | livekit.agents | initializing job runner
2026-01-18 21:07:54,042 | INFO | livekit.agents | initializing job runner
2026-01-18 21:07:54,044 | INFO | livekit.agents | job runner initialized
2026-01-18 21:07:54,045 | INFO | livekit.agents | job runner initialized
2026-01-18 21:07:54,045 | INFO | livekit.agents | job runner initialized
2026-01-18 21:07:54,045 | INFO | livekit.agents | job runner initialized
2026-01-18 21:07:55,083 | INFO | livekit.agents | registered worker
2026-01-18 21:07:55,187 | INFO | livekit.agents | received job request
2026-01-18 21:07:55,399 | INFO | livekit.agents | initializing job runner
2026-01-18 21:07:55,400 | INFO | livekit.agents | job runner initialized
2026-01-18 21:07:59,340 | INFO | interrupt-agent | Connected to room: playground-POcP-FUNj
2026-01-18 21:07:59,341 | INFO | interrupt-agent | Participant joined: identity-LOnl
2026-01-18 21:07:59,544 | INFO | interrupt-agent | Listening for speech events
2026-01-18 21:08:02,166 | INFO | interrupt-agent | START_OF_SPEECH (agent silent)
2026-01-18 21:08:02,166 | INFO | interrupt-agent | 🎤 User started speaking while agent is silent
2026-01-18 21:08:04,239 | INFO | interrupt-agent | START_OF_SPEECH (agent silent)
2026-01-18 21:08:04,239 | INFO | interrupt-agent | 🎤 User started speaking while agent is silent
2026-01-18 21:08:04,240 | INFO | interrupt-agent | START_OF_SPEECH (agent silent)
2026-01-18 21:08:04,240 | INFO | interrupt-agent | 🎤 User started speaking while agent is silent
2026-01-18 21:08:05,408 | INFO | interrupt-agent | START_OF_SPEECH (agent silent)
2026-01-18 21:08:05,408 | INFO | interrupt-agent | 🎤 User started speaking while agent is silent
2026-01-18 21:08:06,882 | INFO | interrupt-agent | START_OF_SPEECH (agent silent)
2026-01-18 21:08:06,882 | INFO | interrupt-agent | 🎤 User started speaking while agent is silent
2026-01-18 21:08:08,280 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'May I know your name?'
2026-01-18 21:08:08,280 | INFO | interrupt-agent | Normal turn (agent silent)
2026-01-18 21:08:08,280 | INFO | interrupt-agent | Agent speaking: 'You said May I know your name?'
2026-01-18 21:08:20,886 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:08:20,886 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:08:53,524 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:08:53,524 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:09:49,161 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:09:49,161 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:09:49,613 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:09:49,613 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:09:50,826 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:09:50,826 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:09:52,642 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:09:52,642 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:09:56,208 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:09:56,209 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:09:57,695 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
